cntry,gndr,agea,atncrse,bthcld,eisced_grouped,happy,eisced,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
AT,Hombre,43,Sí,Sí,ISCED 1-4,4,3,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,3,2,3
AT,Hombre,67,No,Sí,ISCED 1-4,3,3,3,4,3,3,2,4,4,3,4,3,3,3,4,3,5,2,3,2,3,3,3
AT,Mujer,40,No,Sí,ISCED 1-4,2,2,3,5,3,3,4,4,3,3,3,4,2,2,3,2,3,2,3,3,3,3,3
AT,Hombre,63,No,Sí,ISCED 1-4,3,3,2,5,1,1,1,3,2,1,2,3,1,1,1,1,6,1,1,1,1,2,3
AT,Mujer,71,No,Sí,ISCED 1-4,3,2,2,6,1,4,2,4,2,3,3,2,2,2,6,2,6,1,3,2,1,1,3
AT,Hombre,64,No,Sí,ISCED 1-4,2,3,4,6,1,2,2,3,4,1,1,1,1,1,3,2,3,1,2,1,1,1,1
AT,Hombre,56,No,Sí,ISCED 1-4,3,3,2,3,2,2,3,2,3,3,4,2,2,3,3,2,2,3,3,3,3,3,2
AT,Mujer,74,No,Sí,ISCED 1-4,6,3,3,4,4,4,1,6,3,3,3,4,3,2,4,2,6,3,4,1,1,4,4
AT,Hombre,37,No,Sí,ISCED 1-4,1,3,4,6,1,1,1,5,4,3,2,2,3,1,5,3,6,1,6,2,1,1,1
AT,Mujer,22,No,No,ISCED 1-4,2,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,4,3,3,3,3,2,3
AT,Hombre,48,No,Sí,ISCED 1-4,1,3,4,3,6,6,6,4,6,5,6,6,6,6,3,6,5,5,6,4,5,6,6
AT,Mujer,41,Sí,Sí,ISCED 1-4,2,3,1,6,2,6,2,1,6,2,6,1,2,2,5,3,4,2,2,1,4,3,2
AT,Hombre,62,No,Sí,ISCED 1-4,3,3,4,5,3,2,1,5,2,1,2,3,1,1,4,1,6,1,2,1,1,3,5
AT,Hombre,27,No,No,ISCED 1-4,6,4,2,2,1,3,5,5,3,1,2,2,3,1,3,2,4,5,3,1,1,2,3
AT,Hombre,59,No,Sí,ISCED 1-4,2,3,2,4,2,2,2,3,2,3,4,2,1,2,3,2,2,2,2,2,2,2,1
AT,Hombre,49,No,No,ISCED 1-4,1,3,1,5,1,1,1,1,5,1,2,2,2,2,2,2,4,3,2,2,1,1,1
AT,Hombre,42,Sí,No,ISCED 6,5,6,3,3,3,3,1,3,3,2,3,2,2,2,3,1,3,2,2,2,2,4,2
AT,Hombre,59,No,No,ISCED 1-4,1,4,2,5,2,2,2,3,3,3,2,2,2,2,2,2,4,2,2,2,1,2,2
AT,Hombre,50,No,No,ISCED 1-4,2,2,1,4,2,2,1,3,4,2,3,2,1,2,2,1,3,1,2,1,1,2,2
AT,Mujer,43,No,No,ISCED 5,7,5,4,5,3,5,3,3,4,3,3,4,1,5,4,3,4,2,2,4,2,4,3
AT,Mujer,30,No,No,ISCED 1-4,2,3,3,4,2,2,2,3,3,3,2,3,2,2,3,2,4,2,3,1,2,2,3
AT,Hombre,59,No,Sí,ISCED 1-4,3,3,2,2,2,3,2,2,2,2,2,1,2,2,2,1,3,2,2,1,2,2,2
AT,Hombre,19,No,No,ISCED 1-4,3,3,2,2,2,2,4,2,5,4,6,1,1,4,1,2,2,6,2,2,3,3,1
AT,Mujer,70,Sí,Sí,ISCED 7,5,7,2,4,3,2,2,3,4,2,3,2,1,2,2,3,3,3,2,1,2,3,2
AT,Hombre,70,No,Sí,ISCED 5,4,5,5,4,1,2,2,4,2,2,3,4,3,2,2,2,5,1,2,1,1,1,2
AT,Hombre,46,No,Sí,ISCED 5,7,5,2,3,2,2,3,1,4,3,3,1,1,2,3,3,2,3,4,3,2,4,1
AT,Hombre,35,No,Sí,ISCED 7,3,7,1,2,3,1,3,2,3,3,3,1,1,2,1,3,2,2,2,2,2,2,2
AT,Hombre,36,No,Sí,ISCED 1-4,1,3,3,2,2,3,4,4,3,3,2,3,3,2,2,3,4,3,3,2,2,3,3
AT,Hombre,67,No,Sí,ISCED 1-4,2,3,4,3,3,3,2,4,2,6,6,3,3,2,2,4,4,3,3,3,2,2,2
AT,Mujer,23,No,No,ISCED 1-4,2,3,2,1,1,3,2,1,4,2,5,2,1,2,4,1,6,4,6,6,6,3,6
AT,Hombre,49,Sí,Sí,ISCED 5,3,5,2,4,2,1,2,5,3,2,3,3,1,3,1,1,4,2,2,2,3,2,4
AT,Mujer,68,No,Sí,ISCED 1-4,4,2,4,5,2,4,2,2,5,2,1,2,1,1,3,2,4,1,2,1,2,4,2
AT,Hombre,58,No,Sí,ISCED 1-4,3,3,4,5,2,3,2,4,2,2,3,3,2,3,4,2,4,2,2,1,1,1,2
AT,Mujer,44,Sí,Sí,ISCED 1-4,2,3,3,3,1,1,1,3,2,2,3,2,1,1,1,2,2,2,2,1,1,1,3
AT,Mujer,62,No,Sí,ISCED 1-4,5,3,3,4,2,3,1,3,5,3,4,3,2,3,2,1,4,5,3,3,2,1,4
AT,Hombre,50,No,Sí,ISCED 1-4,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,1,2,1,2
AT,Hombre,72,No,Sí,ISCED 1-4,3,3,2,4,4,2,2,3,3,2,3,3,1,1,2,1,4,1,2,1,2,1,4
AT,Mujer,73,No,Sí,ISCED 5,7,5,4,6,1,1,1,1,1,1,5,5,5,1,2,1,5,2,2,6,1,1,3
AT,Hombre,45,No,No,ISCED 1-4,2,3,2,6,1,1,1,2,1,1,4,1,1,1,2,1,3,1,1,1,1,1,1
AT,Mujer,41,No,No,ISCED 1-4,5,3,3,4,1,2,4,1,5,4,5,1,1,4,2,1,1,4,3,4,2,4,1
AT,Hombre,33,No,Sí,ISCED 1-4,1,3,2,3,1,2,1,2,2,3,3,2,2,3,3,1,3,3,2,2,1,1,1
AT,Mujer,39,Sí,Sí,ISCED 5,4,5,1,3,2,3,2,4,4,2,3,2,3,1,3,3,5,3,3,1,1,2,3
AT,Mujer,50,No,Sí,ISCED 1-4,2,3,4,4,2,3,1,5,4,3,4,3,4,4,5,3,5,2,3,2,3,3,3
