cntry,gndr,agea,atncrse,bthcld,eisced_grouped,happy,eisced,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,motprosoc,motextr,motintr,highest_motextr,highest_motintr,highest_motprosoc
AT,Hombre,43,Sí,Sí,ISCED 1-4,4,3,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,3,2,3,2.3333333333333335,2,2,FALSE,FALSE,TRUE
AT,Hombre,67,No,Sí,ISCED 1-4,3,3,3,4,3,3,2,4,4,3,4,3,3,3,4,3,5,2,3,2,3,3,3,2.6666666666666665,3.6666666666666665,3.6666666666666665,TRUE,TRUE,FALSE
AT,Mujer,40,No,Sí,ISCED 1-4,2,2,3,5,3,3,4,4,3,3,3,4,2,2,3,2,3,2,3,3,3,3,3,2.6666666666666665,3.6666666666666665,3.3333333333333335,TRUE,FALSE,FALSE
AT,Hombre,63,No,Sí,ISCED 1-4,3,3,2,5,1,1,1,3,2,1,2,3,1,1,1,1,6,1,1,1,1,2,3,1,2.3333333333333335,3.6666666666666665,FALSE,TRUE,FALSE
AT,Mujer,71,No,Sí,ISCED 1-4,3,2,2,6,1,4,2,4,2,3,3,2,2,2,6,2,6,1,3,2,1,1,3,1.6666666666666667,5.333333333333333,3.3333333333333335,TRUE,FALSE,FALSE
AT,Hombre,64,No,Sí,ISCED 1-4,2,3,4,6,1,2,2,3,4,1,1,1,1,1,3,2,3,1,2,1,1,1,1,1,3.6666666666666665,2.6666666666666665,TRUE,FALSE,FALSE
AT,Hombre,56,No,Sí,ISCED 1-4,3,3,2,3,2,2,3,2,3,3,4,2,2,3,3,2,2,3,3,3,3,3,2,3,2.6666666666666665,2,FALSE,FALSE,TRUE
AT,Mujer,74,No,Sí,ISCED 1-4,6,3,3,4,4,4,1,6,3,3,3,4,3,2,4,2,6,3,4,1,1,4,4,1.3333333333333333,4,4.333333333333333,FALSE,TRUE,FALSE
AT,Hombre,37,No,Sí,ISCED 1-4,1,3,4,6,1,1,1,5,4,3,2,2,3,1,5,3,6,1,6,2,1,1,1,1.3333333333333333,4,4,TRUE,TRUE,FALSE
AT,Mujer,22,No,No,ISCED 1-4,2,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,4,3,3,3,3,2,3,2.6666666666666665,3,3,TRUE,TRUE,FALSE
AT,Hombre,48,No,Sí,ISCED 1-4,1,3,4,3,6,6,6,4,6,5,6,6,6,6,3,6,5,5,6,4,5,6,6,5,4,5,FALSE,TRUE,TRUE
AT,Mujer,41,Sí,Sí,ISCED 1-4,2,3,1,6,2,6,2,1,6,2,6,1,2,2,5,3,4,2,2,1,4,3,2,2.3333333333333335,5.666666666666667,2,TRUE,FALSE,FALSE
AT,Hombre,62,No,Sí,ISCED 1-4,3,3,4,5,3,2,1,5,2,1,2,3,1,1,4,1,6,1,2,1,1,3,5,1,3.6666666666666665,4.333333333333333,FALSE,TRUE,FALSE
AT,Hombre,27,No,No,ISCED 1-4,6,4,2,2,1,3,5,5,3,1,2,2,3,1,3,2,4,5,3,1,1,2,3,1,2.6666666666666665,2.6666666666666665,TRUE,TRUE,FALSE
AT,Hombre,59,No,Sí,ISCED 1-4,2,3,2,4,2,2,2,3,2,3,4,2,1,2,3,2,2,2,2,2,2,2,1,2,3,2,TRUE,FALSE,FALSE
AT,Hombre,49,No,No,ISCED 1-4,1,3,1,5,1,1,1,1,5,1,2,2,2,2,2,2,4,3,2,2,1,1,1,1.6666666666666667,2.6666666666666665,2.3333333333333335,TRUE,FALSE,FALSE
AT,Hombre,42,Sí,No,ISCED 6,5,6,3,3,3,3,1,3,3,2,3,2,2,2,3,1,3,2,2,2,2,4,2,2,3,2.6666666666666665,TRUE,FALSE,FALSE
AT,Hombre,59,No,No,ISCED 1-4,1,4,2,5,2,2,2,3,3,3,2,2,2,2,2,2,4,2,2,2,1,2,2,1.6666666666666667,3,2.6666666666666665,TRUE,FALSE,FALSE
AT,Hombre,50,No,No,ISCED 1-4,2,2,1,4,2,2,1,3,4,2,3,2,1,2,2,1,3,1,2,1,1,2,2,1.3333333333333333,2.6666666666666665,2,TRUE,FALSE,FALSE
AT,Mujer,43,No,No,ISCED 5,7,5,4,5,3,5,3,3,4,3,3,4,1,5,4,3,4,2,2,4,2,4,3,3.6666666666666665,4.666666666666667,4,TRUE,FALSE,FALSE
AT,Mujer,30,No,No,ISCED 1-4,2,3,3,4,2,2,2,3,3,3,2,3,2,2,3,2,4,2,3,1,2,2,3,1.6666666666666667,3,3.3333333333333335,FALSE,TRUE,FALSE
AT,Hombre,59,No,Sí,ISCED 1-4,3,3,2,2,2,3,2,2,2,2,2,1,2,2,2,1,3,2,2,1,2,2,2,1.6666666666666667,2.3333333333333335,2,TRUE,FALSE,FALSE
AT,Hombre,19,No,No,ISCED 1-4,3,3,2,2,2,2,4,2,5,4,6,1,1,4,1,2,2,6,2,2,3,3,1,3,1.6666666666666667,1.6666666666666667,FALSE,FALSE,TRUE
AT,Mujer,70,Sí,Sí,ISCED 7,5,7,2,4,3,2,2,3,4,2,3,2,1,2,2,3,3,3,2,1,2,3,2,1.6666666666666667,2.6666666666666665,2.3333333333333335,TRUE,FALSE,FALSE
AT,Hombre,70,No,Sí,ISCED 5,4,5,5,4,1,2,2,4,2,2,3,4,3,2,2,2,5,1,2,1,1,1,2,1.3333333333333333,2.6666666666666665,4.666666666666667,FALSE,TRUE,FALSE
AT,Hombre,46,No,Sí,ISCED 5,7,5,2,3,2,2,3,1,4,3,3,1,1,2,3,3,2,3,4,3,2,4,1,2.3333333333333335,2.6666666666666665,1.6666666666666667,TRUE,FALSE,FALSE
AT,Hombre,35,No,Sí,ISCED 7,3,7,1,2,3,1,3,2,3,3,3,1,1,2,1,3,2,2,2,2,2,2,2,2,1.3333333333333333,1.3333333333333333,FALSE,FALSE,TRUE
AT,Hombre,36,No,Sí,ISCED 1-4,1,3,3,2,2,3,4,4,3,3,2,3,3,2,2,3,4,3,3,2,2,3,3,2,2.3333333333333335,3.3333333333333335,FALSE,TRUE,FALSE
AT,Hombre,67,No,Sí,ISCED 1-4,2,3,4,3,3,3,2,4,2,6,6,3,3,2,2,4,4,3,3,3,2,2,2,2.3333333333333335,2.6666666666666665,3.6666666666666665,FALSE,TRUE,FALSE
AT,Mujer,23,No,No,ISCED 1-4,2,3,2,1,1,3,2,1,4,2,5,2,1,2,4,1,6,4,6,6,6,3,6,4.666666666666667,2.6666666666666665,3.3333333333333335,FALSE,FALSE,TRUE
